Área,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Dias no mês,31,28,31,30,31,30,31,31,30,31,30,31
Filtragem Germano (Arenoso),1059.069,1021.032,1004.455,1119.820,1137.352,1148.228,1188.572,1138.511,1149.783,1159.534,1051.463,1120.483
Beneficiamento Usina 1,0,0,0,0,0,0,0,0,0,0,0,0
Beneficiamento Usina 2,599.777,546.473,576.604,565.607,584.428,619.565,641.890,641.702,624.349,611.983,525.624,585.606
Beneficiamento Usina 3,660.813,683.622,680.474,806.839,828.463,802.193,822.427,751.435,793.453,794.818,734.243,726.840
Mineroduto 1,0,0,0,0,0,0,0,0,0,0,0,0
Mineroduto 2,0,0,0,0,0,0,0,0,0,0,0,0
Mineroduto 3,1260.590,1230.095,1257.078,1372.446,1412.892,1421.758,1464.316,1393.137,1417.802,1406.802,1259.866,1312.446
Preparação 1,0,0,0,0,0,0,0,0,0,0,0,0
Preparação 2,1260.590,1230.095,1257.078,1372.446,1412.892,1421.758,1464.316,1393.137,1417.802,1406.802,1259.866,1312.446
Usina 1,0,0,0,0,0,0,0,0,0,0,0,0
Usina 2,0,0,0,0,0,0,0,0,0,0,0,0
Usina 3,474.391,457.320,385.052,522.010,527.211,532.468,560.316,527.285,523.744,536.105,471.720,488.464
Usina 4,592.838,551.331,678.843,651.574,637.681,687.995,700.109,636.355,675.251,669.788,565.428,628.826
Vendas,1067.228,1008.651,1063.895,1173.584,1164.892,1220.463,1260.425,1163.640,1198.995,1205.892,1037.148,1117.290
Produção PSC + PSM,143.855,174.653,143.825,144.812,193.959,145.234,145.594,176.048,162.941,145.103,174.909,144.306
